Name		Red	Green	Blue	HEX
alice blue	240	248	255	#F0F0F8
AliceBlue	240	248	255	#F0F0F8
antique white	250	235	215	#FAFAEB
AntiqueWhite	250	235	215	#FAFAEB
AntiqueWhite1	255	239	219	#FFFFEF
AntiqueWhite2	238	223	204	#EEEEDF
AntiqueWhite3	205	192	176	#CDCDC0
AntiqueWhite4	139	131	120	#8B8B83
agua	0	255	255		#0000FF
aquamarine	127	255	212	#7F7FFF
aquamarine1	127	255	212	#7F7FFF
aquamarine2	118	238	198	#7676EE
aquamarine3	102	205	170	#6666CD
aquamarine4	69	139	116	#45458B
azure	240	255	255		#F0F0FF
azure1	240	255	255		#F0F0FF
azure2	224	238	238		#E0E0EE
azure3	193	205	205		#C1C1CD
azure4	131	139	139		#83838B
beige	245	245	220		#F5F5F5
bisque	255	228	196		#FFFFE4
bisque1	255	228	196		#FFFFE4
bisque2	238	213	183		#EEEED5
bisque3	205	183	158		#CDCDB7
bisque4	139	125	107		#8B8B7D
black	0	0	0	#000000
blanched almond	255	235	205	#FFFFEB
BlanchedAlmond	255	235	205	#FFFFEB
blue	0	0	255	#000000
blue violet	138	43	226	#8A8A2B
blue1	0	0	255	#000000
blue2	0	0	238	#000000
blue3	0	0	205	#000000
blue4	0	0	139	#000000
BlueViolet	138	43	226	#8A8A2B
brown	165	42	42	#A5A52A
brown1	255	64	64	#FFFF40
brown2	238	59	59	#EEEE3B
brown3	205	51	51	#CDCD33
brown4	139	35	35	#8B8B23
burlywood	222	184	135	#DEDEB8
burlywood1	255	211	155	#FFFFD3
burlywood2	238	197	145	#EEEEC5
burlywood3	205	170	125	#CDCDAA
burlywood4	139	115	85	#8B8B73
cadet blue	95	158	160	#5F5F9E
CadetBlue	95	158	160	#5F5F9E
CadetBlue1	152	245	255	#9898F5
CadetBlue2	142	229	238	#8E8EE5
CadetBlue3	122	197	205	#7A7AC5
CadetBlue4	83	134	139	#535386
chartreuse	127	255	0	#7F7FFF
chartreuse1	127	255	0	#7F7FFF
chartreuse2	118	238	0	#7676EE
chartreuse3	102	205	0	#6666CD
chartreuse4	69	139	0	#45458B
chocolate	210	105	30	#D2D269
chocolate1	255	127	36	#FFFF7F
chocolate2	238	118	33	#EEEE76
chocolate3	205	102	29	#CDCD66
chocolate4	139	69	19	#8B8B45
coral	255	127	80	#FFFF7F
coral1	255	114	86	#FFFF72
coral2	238	106	80	#EEEE6A
coral3	205	91	69	#CDCD5B
coral4	139	62	47	#8B8B3E
cornflower blue	100	149	237	#646495
CornflowerBlue	100	149	237	#646495
cornsilk	255	248	220	#FFFFF8
cornsilk1	255	248	220	#FFFFF8
cornsilk2	238	232	205	#EEEEE8
cornsilk3	205	200	177	#CDCDC8
cornsilk4	139	136	120	#8B8B88
crymson	220	20	60	#DCDC14
cyan	0	255	255	#0000FF
cyan1	0	255	255	#0000FF
cyan2	0	238	238	#0000EE
cyan3	0	205	205	#0000CD
cyan4	0	139	139	#00008B
dark blue	0	0	139	#000000
dark cyan	0	139	139	#00008B
dark goldenrod	184	134	11	#B8B886
dark gray	169	169	169	#A9A9A9
dark green	0	100	0	#000064
dark grey	169	169	169	#A9A9A9
dark khaki	189	183	107	#BDBDB7
dark magenta	139	0	139	#8B8B00
dark olive green	85	107	47	#55556B
dark orange	255	140	0	#FFFF8C
dark orchid	153	50	204	#999932
dark red	139	0	0	#8B8B00
dark salmon	233	150	122	#E9E996
dark sea green	143	188	143	#8F8FBC
dark slate blue	72	61	139	#48483D
dark slate gray	47	79	79	#2F2F4F
dark slate grey	47	79	79	#2F2F4F
dark turquoise	0	206	209	#0000CE
dark violet	148	0	211	#949400
DarkBlue	0	0	139	#000000
DarkCyan	0	139	139	#00008B
DarkGoldenrod	184	134	11	#B8B886
DarkGoldenrod1	255	185	15	#FFFFB9
DarkGoldenrod2	238	173	14	#EEEEAD
DarkGoldenrod3	205	149	12	#CDCD95
DarkGoldenrod4	139	101	8	#8B8B65
DarkGray	169	169	169	#A9A9A9
DarkGreen	0	100	0	#000064
DarkGrey	169	169	169	#A9A9A9
DarkKhaki	189	183	107	#BDBDB7
DarkMagenta	139	0	139	#8B8B00
DarkOliveGreen	85	107	47	#55556B
DarkOliveGreen1	202	255	112	#CACAFF
DarkOliveGreen2	188	238	104	#BCBCEE
DarkOliveGreen3	162	205	90	#A2A2CD
DarkOliveGreen4	110	139	61	#6E6E8B
DarkOrange	255	140	0	#FFFF8C
DarkOrange1	255	127	0	#FFFF7F
DarkOrange2	238	118	0	#EEEE76
DarkOrange3	205	102	0	#CDCD66
DarkOrange4	139	69	0	#8B8B45
DarkOrchid	153	50	204	#999932
DarkOrchid1	191	62	255	#BFBF3E
DarkOrchid2	178	58	238	#B2B23A
DarkOrchid3	154	50	205	#9A9A32
DarkOrchid4	104	34	139	#686822
DarkRed	139	0	0	#8B8B00
DarkSalmon	233	150	122	#E9E996
DarkSeaGreen	143	188	143	#8F8FBC
DarkSeaGreen1	193	255	193	#C1C1FF
DarkSeaGreen2	180	238	180	#B4B4EE
DarkSeaGreen3	155	205	155	#9B9BCD
DarkSeaGreen4	105	139	105	#69698B
DarkSlateBlue	72	61	139	#48483D
DarkSlateGray	47	79	79	#2F2F4F
DarkSlateGray1	151	255	255	#9797FF
DarkSlateGray2	141	238	238	#8D8DEE
DarkSlateGray3	121	205	205	#7979CD
DarkSlateGray4	82	139	139	#52528B
DarkSlateGrey	47	79	79	#2F2F4F
DarkTurquoise	0	206	209	#0000CE
DarkViolet	148	0	211	#949400
deep pink	255	20	147	#FFFF14
deep sky blue	0	191	255	#0000BF
DeepPink	255	20	147	#FFFF14
DeepPink1	255	20	147	#FFFF14
DeepPink2	238	18	137	#EEEE12
DeepPink3	205	16	118	#CDCD10
DeepPink4	139	10	80	#8B8B0A
DeepSkyBlue	0	191	255	#0000BF
DeepSkyBlue1	0	191	255	#0000BF
DeepSkyBlue2	0	178	238	#0000B2
DeepSkyBlue3	0	154	205	#00009A
DeepSkyBlue4	0	104	139	#000068
dim gray	105	105	105	#696969
dim grey	105	105	105	#696969
DimGray	105	105	105	#696969
DimGrey	105	105	105	#696969
dodger blue	30	144	255	#1E1E90
DodgerBlue	30	144	255	#1E1E90
DodgerBlue1	30	144	255	#1E1E90
DodgerBlue2	28	134	238	#1C1C86
DodgerBlue3	24	116	205	#181874
DodgerBlue4	16	78	139	#10104E
firebrick	178	34	34	#B2B222
firebrick1	255	48	48	#FFFF30
firebrick2	238	44	44	#EEEE2C
firebrick3	205	38	38	#CDCD26
firebrick4	139	26	26	#8B8B1A
floral white	255	250	240	#FFFFFA
FloralWhite	255	250	240	#FFFFFA
forest green	34	139	34	#22228B
ForestGreen	34	139	34	#22228B
fuchsia	255	0	255	#FFFF00
gainsboro	220	220	220	#DCDCDC
ghost white	248	248	255	#F8F8F8
GhostWhite	248	248	255	#F8F8F8
gold	255	215	0	#FFFFD7
gold1	255	215	0	#FFFFD7
gold2	238	201	0	#EEEEC9
gold3	205	173	0	#CDCDAD
gold4	139	117	0	#8B8B75
goldenrod	218	165	32	#DADAA5
goldenrod1	255	193	37	#FFFFC1
goldenrod2	238	180	34	#EEEEB4
goldenrod3	205	155	29	#CDCD9B
goldenrod4	139	105	20	#8B8B69
gray	128	128	128	#808080
gray0	0	0	0	#000000
gray1	3	3	3	#030303
gray2	5	5	5	#050505
gray3	8	8	8	#080808
gray4	10	10	10	#0A0A0A
gray5	13	13	13	#0D0D0D
gray6	15	15	15	#0F0F0F
gray7	18	18	18	#121212
gray8	20	20	20	#141414
gray9	23	23	23	#171717
gray10	26	26	26	#1A1A1A
gray11	28	28	28	#1C1C1C
gray12	31	31	31	#1F1F1F
gray13	33	33	33	#212121
gray14	36	36	36	#242424
gray15	38	38	38	#262626
gray16	41	41	41	#292929
gray17	43	43	43	#2B2B2B
gray18	46	46	46	#2E2E2E
gray19	48	48	48	#303030
gray20	51	51	51	#333333
gray21	54	54	54	#363636
gray22	56	56	56	#383838
gray23	59	59	59	#3B3B3B
gray24	61	61	61	#3D3D3D
gray25	64	64	64	#404040
gray26	66	66	66	#424242
gray27	69	69	69	#454545
gray28	71	71	71	#474747
gray29	74	74	74	#4A4A4A
gray30	77	77	77	#4D4D4D
gray31	79	79	79	#4F4F4F
gray32	82	82	82	#525252
gray33	84	84	84	#545454
gray34	87	87	87	#575757
gray35	89	89	89	#595959
gray36	92	92	92	#5C5C5C
gray37	94	94	94	#5E5E5E
gray38	97	97	97	#616161
gray39	99	99	99	#636363
gray40	102	102	102	#666666
gray41	105	105	105	#696969
gray42	107	107	107	#6B6B6B
gray43	110	110	110	#6E6E6E
gray44	112	112	112	#707070
gray45	115	115	115	#737373
gray46	117	117	117	#757575
gray47	120	120	120	#787878
gray48	122	122	122	#7A7A7A
gray49	125	125	125	#7D7D7D
gray50	127	127	127	#7F7F7F
gray51	130	130	130	#828282
gray52	133	133	133	#858585
gray53	135	135	135	#878787
gray54	138	138	138	#8A8A8A
gray55	140	140	140	#8C8C8C
gray56	143	143	143	#8F8F8F
gray57	145	145	145	#919191
gray58	148	148	148	#949494
gray59	150	150	150	#969696
gray60	153	153	153	#999999
